X,Y,objectid,cenefa,consecutivo_paradero,zona_paradero,nombre_paradero,via_paradero,direccion_paradero,localidad_paradero,consola_paradero,panel_paradero,audio_paradero,longitud_paradero,latitud_paradero,coordenada_x_paradero,coordenada_y_paradero,globalid,created_user,created_date,last_edited_user,last_edited_date,log_replica,zona_nueva_sitp,modulo_paradero
-74.06397139,4.688480769,61156,001A00,1,0,C.C. Iserra 100,AC 100,AC 100 - KR 54,12,AC 100 - KR 54 (001A00),AC 100 - KR 54,Avenida Calle 100 Carrera 54,-74.06397139,4.68848077,1001501.871,1010204.519,{3A7C4032-6541-4094-AD68-67C14D82643C},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:24+00,,3,A
-74.04591449,4.684090953,61157,001A01,1,1,Br. Rincón del Chicó,AC 100,AC 100 - KR 13,1,AC 100 - KR 13 (001A01),AC 100 - KR 13,Avenida Calle 100 Carrera 13,-74.04591449,4.68409095,1003505.296,1009719.15,{AAF0E9C5-87E7-49F1-A590-3229B9C1A200},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:24+00,,2,A
-74.06635014,4.759866633,61158,001A02,1,2,Gimnasio Iragua,AV. Boyacá,AV. Boyacá - AC 170,11,AV. Boyacá - AC 170 (001A02),AV. Boyacá - AC 170,Avenida Boyacá Avenida Calle 170,-74.06635014,4.75986663,1001237.823,1018098.492,{43A446D5-73A9-480C-A122-E0A5ACF3891C},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:24+00,,3,A
-74.07143918,4.689503964,61159,001A03,1,3,Br. Julio Flórez,AC 100,AC 100 - KR 66A,11,AC 100 - KR 66A  (001A03),AC 100 - KR 66A,Avenida Calle 100 Carrera 66 A,-74.07143918,4.68950396,1000673.322,1010317.654,{3BFA8441-54AB-4C5C-84CF-E42C101BCCCB},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:24+00,,4,A
-74.08039205,4.682625995,61160,001A04,1,4,Avenida Calle 80,AK 68,AK 68 - CL 79D,12,AK 68 - CL 79D (001A04),AK 68 - CL 79D,Avenida Carrera 68 Calle 79 D,-74.08039205,4.682626,999680.0042,1009557.074,{9BFCF386-1878-4687-BDDC-D539D11CD4C7},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:24+00,,4,A
-74.08438362,4.651926491,61161,001A05,1,5,Br. Pablo VI Norte,AK 50,AK 50 - CL 59,13,AK 50 - CL 59 (001A05),AK 50 - CL 59,Avenida Carrera 50 Calle 59,-74.08438362,4.65192649,999237.1048,1006162.276,{25F20091-35F4-4066-9B9A-6FF990E204C2},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:24+00,,8,A
-74.11772364,4.63810999,61162,001A06,1,6,Avenida Calle 13,AK 68,AK 68 - AC 13,9,AK 68 - AC 13 (001A06),AK 68 - AC 13,Avenida Carrera 68 Avenida Calle 13,-74.11772364,4.63810999,995537.7682,1004634.549,{24480F98-4BA5-439B-9AF4-855F022F8A79},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:24+00,,8,A
-74.10801229,4.62549076,61163,001A07,1,7,Br. San Francisco,AK 50,AK 50 - TV 49,11,AK 50 - TV 49 (001A07),AK 50 - TV 49,Avenida Carrera 50 Transversal 49,-74.10801229,4.62549076,996615.2544,1003239.041,{3EEBDFA7-FEA7-4590-9961-475B71DC0723},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:25+00,,5,A
-74.12602137,4.619447249,61164,001A08,1,8,Br. Hipotecho Sur,AK 68,AK 68 - CL 3 Sur,8,AK 68 - CL 3 Sur (001A08),AK 68 - CL 3 Sur,Avenida Carrera 68 Calle Tercera Sur,-74.12602137,4.61944725,994616.9325,1002570.852,{6CC1CBB9-500B-4201-B58F-1CDAA536791A},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:25+00,,5,A
-74.13627273,4.598327412,61165,001A09,1,9,Br. Alquería La Fragua II,AK 68,AK 68 - CL 39I Sur,8,AK 68 - CL 39I Sur (001A09),AK 68 - CL 39I Sur,Avenida Carrera 68 Calle 39 I Sur,-74.13627273,4.59832741,993479.2457,1000235.474,{42046C6A-1C33-4A6F-BD82-B420836E35B7},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:25+00,,6,A
-74.145558,4.589933999,61166,001A10,1,10,Pq. Lagunetas,AV. Boyacá,AV. Boyacá - DG 50A Sur,6,AV. Boyacá - DG 50A Sur (001A10),AV. Boyacá - DG 50A Sur,Avenida Boyacá Diagonal 50 A Sur,-74.145558,4.589934,992448.8301,999307.4097,{B9380431-84A6-47C0-BA21-17C9EAECD25B},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:25+00,,7,A
-74.14136231,4.577435431,61167,001A11,1,11,Br. Arborizadora Baja,AV. Boyacá,AV. Boyacá - KR 25,6,AV. Boyacá - KR 25 (001A11),AV. Boyacá - KR 25,Avenida Boyacá Carrera 25,-74.14136231,4.57743543,992914.2815,997925.2572,{F69FEF9A-7680-483B-91DA-AE8B2144B1BF},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:25+00,,7,A
-74.12368693,4.573561365,61168,001A12,1,12,Funeraria Claret,AV. Caracas,AV. Caracas - CL 45 Sur,18,AV. Caracas - CL 45 Sur (001A12),AV. Caracas - CL 45 Sur,Avenida Caracas Calle 45 Sur,-74.12368693,4.57356137,994875.635,997496.7073,{7DE44685-BAA6-40D1-95D9-1C79B6D52A83},WEBADAPTOR,2022/02/16 19:54:54+00,MODOSALTERNATIVOS,2022/02/17 17:11:25+00,,7,A
